id;numero_chap_compta;libelle_chap_compta;sens_chap_compta;solde_chap_compta;cumul_mouv_debit_chap_compta;cumul_mouv_credit_chap_compta;date_created;date_updated;date_deleted;user_created;user_updated;user_deleted
1;90364;24/365;Shirt Borders AI;24959;88895;33484;2020-03-25;2020-03-25;2020-03-25;50762;43941;39340
2;99815;Principal haptic;front-end Checking Account Licensed;21105;61764;95908;2020-03-25;2020-03-25;2020-03-25;83482;40574;69228
3;77959;5th generation Integrated Practical;Grocery mindshare salmon;76756;9319;17585;2020-03-24;2020-03-25;2020-03-25;46577;92239;29482
4;66891;Future overriding mobile;methodologies;2798;98813;57694;2020-03-25;2020-03-24;2020-03-25;44588;18049;41953
5;1656;Freeway success;benchmark;83291;9004;2296;2020-03-25;2020-03-25;2020-03-25;91665;9225;66931
6;83342;Sleek generating Pre-emptive;Clothing;14335;64026;47781;2020-03-25;2020-03-25;2020-03-25;58081;24806;53947
7;23744;Rustic Wooden Gloves Fantastic Wooden Towels;zero administration Designer;29564;60974;44994;2020-03-25;2020-03-25;2020-03-25;66716;72684;90027
8;27905;Fantastic;drive Arkansas Avon;64157;53633;7983;2020-03-25;2020-03-25;2020-03-25;75830;6034;8595
9;17383;Coordinator RAM Corporate;Tasty Metal Ball Investor;43461;46839;6914;2020-03-24;2020-03-25;2020-03-24;24917;99271;90227
10;50816;Practical Metal Salad eyeballs protocol;Alabama;29600;73649;35627;2020-03-24;2020-03-25;2020-03-25;27773;32699;92650
