id;code_param_code;libelle_param_code;description_param_code;date_created;date_updated;user_created;user_updated;user_deleted
1;Steel Practical Metal Bacon Macao;microchip;Synergistic Brand;2020-03-25;2020-03-24;5187;523;16192
2;Practical Frozen Fish;transmit Ergonomic Fresh Towels;Ramp card Generic Cotton Tuna;2020-03-25;2020-03-25;98542;48800;5443
3;Anguilla Metal red;Chief;Philippine Peso Producer;2020-03-25;2020-03-25;56045;38445;65046
4;Outdoors;Multi-tiered Granite;schemas Architect;2020-03-25;2020-03-25;56195;47187;66859
5;SSL Licensed Frozen Pizza Steel;Response hierarchy Quetzal;Group methodology;2020-03-25;2020-03-24;70264;57503;48475
6;Bike Vatu;Plain firewall;neural;2020-03-25;2020-03-25;67529;92543;5987
7;withdrawal Guyana Dollar;Grocery;mindshare Small Rubber Keyboard engage;2020-03-25;2020-03-25;59281;51295;94594
8;Hills transmit;indexing;copying streamline;2020-03-25;2020-03-25;11950;6042;50614
9;Visionary Uzbekistan compressing;Crest SSL;teal Mountains;2020-03-24;2020-03-25;89548;63722;80719
10;bleeding-edge bus;connecting;Lesotho Puerto Rico;2020-03-24;2020-03-25;39067;23259;75376
