id;code_pole;libelle_pole;description_pole;date_created;date_updated;user_created;user_updated;user_deleted
1;complexity Arkansas Licensed;Bahraini Dinar;software JBOD Forward;2020-03-25;2020-03-25;48508;63550;6212
2;Music interface;Avon Handcrafted;Station Orchestrator bandwidth;2020-03-25;2020-03-24;76084;43763;78141
3;Gorgeous Identity;cutting-edge;website Soft empower;2020-03-24;2020-03-25;25534;12575;90636
4;Legacy;Identity Investment Account;overriding Handmade;2020-03-24;2020-03-25;42908;73794;64385
5;paradigm Division Cotton;Rand International Unbranded Metal Table;Comoros Corner;2020-03-25;2020-03-24;9887;97990;6608
6;Car blue action-items;Florida;connect artificial intelligence Zloty;2020-03-24;2020-03-25;83117;90774;74755
7;Hryvnia;blue Savings Account Credit Card Account;systems;2020-03-24;2020-03-25;17282;33293;72246
8;American Samoa open-source;Corporate Investment Account;ADP Up-sized Savings Account;2020-03-25;2020-03-25;45052;85270;29867
9;implementation;Hawaii;SMS;2020-03-25;2020-03-25;54972;81746;76300
10;emulation cross-platform;Bacon;Savings Account;2020-03-24;2020-03-25;93621;82207;57166
