id;code_banque;rib_banque;libelle_banque;description_banque;date_created;date_updated;user_created;user_updated;user_deleted
1;application;Burkina Faso concept;Analyst;platforms structure Usability;2020-03-25;2020-03-25;90840;54454;90076
2;Oval Latvia alarm;Chips multi-byte;Buckinghamshire Skyway;Specialist hacking;2020-03-25;2020-03-25;66444;12269;59307
3;Soft;Handcrafted payment;Executive teal;SDD;2020-03-24;2020-03-24;86516;93159;7804
4;Money Market Account Checking Account infrastructures;Group Savings Account Awesome Rubber Keyboard;Fish Principal Gambia;Metrics;2020-03-25;2020-03-25;8483;77820;41555
5;initiatives vortals quantifying;backing up Gorgeous Rubber Bacon synthesize;Incredible generate;index;2020-03-24;2020-03-25;52813;57942;96838
6;solid state;Andorra;input Gibraltar Pound;cross-platform index;2020-03-25;2020-03-24;16704;48664;94400
7;Incredible system;Checking Account Executive Bolivia;indigo Cotton card;wireless Wooden;2020-03-25;2020-03-25;8876;15015;23062
8;Bahraini Dinar Toys;supply-chains monetize sexy;Administrator;application Frozen viral;2020-03-25;2020-03-25;26179;93927;78471
9;quantify iterate Unbranded;orchid;Moroccan Dirham;pixel foreground;2020-03-25;2020-03-25;94274;14623;80665
10;infomediaries hack Armenian Dram;SQL;Quality-focused;Gorgeous Central;2020-03-25;2020-03-25;13278;8312;16329
