id;code_unite;libelle_unite;description_unite;date_created;date_updated;user_created;user_updated;user_deleted
1;solid state transmit;scale Frozen;Montana AGP;2020-03-25;2020-03-25;79062;23924;96347
2;Kyat communities;programming Costa Rican Colon XML;infrastructures Face to face;2020-03-25;2020-03-24;11086;17890;28635
3;Sleek Fresh Bike Handmade;explicit Awesome Rubber Cheese;Rand Loti SAS Indonesia;2020-03-25;2020-03-25;76578;11985;68228
4;syndicate;Horizontal;silver digital Brand;2020-03-24;2020-03-24;21184;23756;43529
5;Security Poland Ergonomic;hub Industrial;withdrawal Fresh Tasty Fresh Chicken;2020-03-25;2020-03-25;86711;57774;203
6;Parkway encompassing regional;Central Investment Account withdrawal;Money Market Account;2020-03-25;2020-03-24;227;68124;89623
7;Kwacha;Consultant;circuit Books bandwidth;2020-03-25;2020-03-25;22474;4871;54500
8;back up;Congo;payment holistic;2020-03-24;2020-03-25;89672;55663;51846
9;mobile Jewelery Fantastic;open system;Rubber;2020-03-25;2020-03-25;82231;99496;27381
10;Rufiyaa Metrics port;Borders;primary;2020-03-25;2020-03-25;68338;19889;73683
