id;code_type_plateau;libelle_type_plateau;date_created;date_updated;user_created;user_updated;user_deleted
1;SMS Iraqi Dinar;Vision-oriented;2020-03-25;2020-03-25;94822;19110;4330
2;tan Regional Cotton;silver Florida;2020-03-25;2020-03-25;28231;63546;78091
3;one-to-one maroon;local area network;2020-03-24;2020-03-24;92662;78308;32812
4;generate;Coordinator Cambridgeshire;2020-03-24;2020-03-25;92422;13030;8823
5;Universal next-generation;JBOD backing up;2020-03-25;2020-03-25;89519;19689;23917
6;Forward firmware;Cape Verde Escudo Albania;2020-03-25;2020-03-25;40019;78876;64334
7;azure Cambridgeshire;Unbranded Plastic Hat National;2020-03-24;2020-03-25;59596;34091;38027
8;open architecture;Home Loan Account array orange;2020-03-25;2020-03-24;80074;96230;73961
9;web services pixel solution;Automotive ivory AGP;2020-03-25;2020-03-25;66419;94631;40055
10;interface;open-source;2020-03-25;2020-03-25;9029;36619;80769
