id;chemin_fichier;format_fichier;separateur_fichier;date_created;date_updated;date_deleted;user_created;user_updated;user_deleted
1;COM Investment Account invoice;Security;secondary schemas Guatemala;2020-03-25;2020-03-25;2020-03-25;95472;38297;26420
2;Corporate;Rustic Fresh;orange;2020-03-25;2020-03-25;2020-03-25;5560;91201;61751
3;Cheese Function-based Practical;Bacon Usability;budgetary management Keyboard Manors;2020-03-24;2020-03-25;2020-03-25;35891;72572;64727
4;aggregate Investment Account;networks copy;Research Money Market Account complexity;2020-03-25;2020-03-25;2020-03-25;75389;52157;61996
5;Licensed Fresh Fish Seamless parse;bandwidth New Hampshire ROI;Designer;2020-03-25;2020-03-24;2020-03-25;99015;56802;25050
6;Mauritius Rupee Solutions Fresh;Generic Trace;indexing Refined;2020-03-24;2020-03-24;2020-03-25;26110;48296;67293
7;override application;Parkways Bedfordshire;Marketing Optimization Cedi;2020-03-24;2020-03-25;2020-03-25;60983;82767;89001
8;Ohio;Motorway Music;Bedfordshire;2020-03-25;2020-03-25;2020-03-24;85155;79292;23383
9;Extended;1080p copy Mongolia;Books Soap;2020-03-24;2020-03-25;2020-03-25;73695;9686;22584
10;sky blue;Qatari Rial compressing Wooden;compressing blue circuit;2020-03-24;2020-03-25;2020-03-25;32037;46633;38373
