id;code_param_divers;libelle_param_divers;description_param_divers;valeur_num_1;valeur_num_2;valeur_num_3;valeur_text_1;valeur_text_2;valeur_text_3;valeur_boolean_1;valeur_boolean_2;valeur_boolean_3;date_created;date_updated;user_created;user_updated;user_deleted
1;front-end Checking Account Mobility;Points Credit Card Account parsing;Lane;55356;8286;64135;deliver;Response RAM;Frozen Home Loan Account deliver;true;false;false;2020-03-25;2020-03-24;58613;357;99041
2;card;Intuitive green Berkshire;orange concept Berkshire;99229;42338;67797;SAS synergies supply-chains;synthesize;Indiana Naira Product;false;false;false;2020-03-25;2020-03-24;2148;12959;81197
3;collaboration;methodologies orchid Radial;Planner niches;71440;74750;3965;Multi-channelled;Metal;Cotton Djibouti Franc;false;false;false;2020-03-25;2020-03-25;37258;5697;19960
4;Developer Jordan;Berkshire Baby Customer;Outdoors SCSI;73400;3627;35687;Keyboard;Rubber reboot Rupiah;paradigm;false;true;false;2020-03-25;2020-03-24;1420;6695;75726
5;teal Alley hacking;installation Visionary;payment;66037;81657;69631;parsing Martinique;input Open-source;Pants Belize Dollar;false;true;false;2020-03-25;2020-03-25;40653;33686;60920
6;Port Universal Decentralized;Courts;navigating;29179;87554;75628;Shoes;index digital;Fresh;false;false;false;2020-03-25;2020-03-25;6134;65339;4673
7;plum protocol;deposit migration;Computers synthesizing;25239;49123;91822;bus Rial Omani groupware;Personal Loan Account;Steel transmitter;true;true;true;2020-03-25;2020-03-25;85739;65595;53643
8;multi-byte reboot calculating;Minnesota;generate;67426;54553;95665;cyan SQL e-tailers;Product back-end Steel;quantify grey;true;false;true;2020-03-25;2020-03-25;42905;97624;656
9;Intelligent North Korean Won;Dynamic background Coves;CFA Franc BEAC;91508;12770;84232;digital Direct Congo;haptic drive;Frozen microchip Future-proofed;false;false;true;2020-03-25;2020-03-25;11308;32578;21157
10;Nakfa;circuit Beauty;Legacy dot-com archive;24050;67639;83839;Washington auxiliary Generic;circuit input;parsing;true;true;false;2020-03-25;2020-03-25;66332;63959;94393
